校准方式,规则,α,留一误报率,误报95%CI,召回,召回95%CI,阈值
按机位(n≈8),MAD,-,0.118,"[0.039,0.216]",0.875,"[0.688,1.000]",9.2
按机位(n≈8),P95,-,0.118,"[0.039,0.216]",0.938,"[0.812,1.000]",8.9
按机位(n≈8),保形,0.01,0.000,"[0.000,0.000]",0.000,"[0.000,0.000]",-
按机位(n≈8),保形,0.02,0.000,"[0.000,0.000]",0.000,"[0.000,0.000]",-
按机位(n≈8),保形,0.05,0.000,"[0.000,0.000]",0.000,"[0.000,0.000]",-
按机位(n≈8),保形,0.1,0.039,"[0.000,0.098]",0.688,"[0.438,0.875]",-
按机位(n≈8),保形,0.15,0.098,"[0.020,0.196]",0.812,"[0.625,1.000]",-
按机位(n≈8),保形,0.2,0.137,"[0.059,0.235]",1.000,"[1.000,1.000]",-
按机位(n≈8),保形,0.3,0.216,"[0.118,0.333]",1.000,"[1.000,1.000]",-
合并(n=52),MAD,-,0.039,"[0.000,0.098]",0.938,"[0.812,1.000]",15.4
合并(n=52),P95,-,0.078,"[0.020,0.157]",0.938,"[0.812,1.000]",12.5
合并(n=52),保形,0.01,0.000,"[0.000,0.000]",0.000,"[0.000,0.000]",inf
合并(n=52),极值理论POT,0.01,0.020,"[0.000,0.059]",0.562,"[0.312,0.812]",25.1
合并(n=52),保形,0.02,0.020,"[0.000,0.059]",0.562,"[0.312,0.812]",23.0
合并(n=52),极值理论POT,0.02,0.039,"[0.000,0.098]",0.562,"[0.312,0.812]",18.8
合并(n=52),保形,0.05,0.039,"[0.000,0.098]",0.562,"[0.312,0.812]",19.0
合并(n=52),极值理论POT,0.05,0.059,"[0.000,0.137]",0.938,"[0.812,1.000]",13.1
合并(n=52),保形,0.1,0.098,"[0.020,0.196]",1.000,"[1.000,1.000]",10.0
合并(n=52),极值理论POT,0.1,0.098,"[0.020,0.196]",1.000,"[1.000,1.000]",10.2
合并(n=52),保形,0.15,0.098,"[0.020,0.196]",1.000,"[1.000,1.000]",9.0
合并(n=52),极值理论POT,0.15,0.157,"[0.059,0.255]",1.000,"[1.000,1.000]",8.9
合并(n=52),保形,0.2,0.176,"[0.078,0.275]",1.000,"[1.000,1.000]",7.0
合并(n=52),极值理论POT,0.2,0.176,"[0.078,0.275]",1.000,"[1.000,1.000]",8.0
合并(n=52),保形,0.3,0.176,"[0.078,0.275]",1.000,"[1.000,1.000]",7.0
