口径,帧数,缺陷数,规则,留一误报,召回,召回95%CI,阈值
A 原口径,69,16,MAD,0.038,0.938,"[0.81,1.00]",
A 原口径,69,16,P95,0.075,0.938,"[0.81,1.00]",
A 原口径,69,16,保形5%,0.038,0.562,"[0.31,0.81]",19.0
A 原口径,69,16,保形10%,0.094,1.000,"[1.00,1.00]",10.0
A 原口径,69,16,POT5%,0.057,0.938,"[0.81,1.00]",12.9
B 开外观屏蔽,69,16,MAD,0.057,0.938,"[0.81,1.00]",
B 开外观屏蔽,69,16,P95,0.057,0.938,"[0.81,1.00]",
B 开外观屏蔽,69,16,保形5%,0.038,0.562,"[0.31,0.81]",20.0
B 开外观屏蔽,69,16,保形10%,0.094,0.938,"[0.81,1.00]",12.0
B 开外观屏蔽,69,16,POT5%,0.057,0.938,"[0.81,1.00]",13.8
C 假设Cam3漏标,69,17,MAD,0.019,0.941,"[0.82,1.00]",
C 假设Cam3漏标,69,17,P95,0.058,1.000,"[1.00,1.00]",
C 假设Cam3漏标,69,17,保形5%,0.038,0.941,"[0.82,1.00]",13.0
C 假设Cam3漏标,69,17,保形10%,0.077,1.000,"[1.00,1.00]",9.0
C 假设Cam3漏标,69,17,POT5%,0.058,1.000,"[1.00,1.00]",11.5
D C+剔除人手帧,68,17,MAD,0.020,0.941,"[0.82,1.00]",
D C+剔除人手帧,68,17,P95,0.059,1.000,"[1.00,1.00]",
D C+剔除人手帧,68,17,保形5%,0.039,0.941,"[0.82,1.00]",12.0
D C+剔除人手帧,68,17,保形10%,0.059,1.000,"[1.00,1.00]",9.0
D C+剔除人手帧,68,17,POT5%,0.039,1.000,"[1.00,1.00]",10.5
