fpr,region_overlap
0.000001,0.000000
0.004019,0.118596
0.007601,0.464739
0.011666,0.540958
0.015803,0.579393
0.019950,0.607110
0.024116,0.628296
0.028299,0.645147
0.032478,0.659425
0.036663,0.671260
0.040855,0.681681
0.045045,0.690846
0.049233,0.699656
0.053426,0.706871
0.057622,0.713304
0.061820,0.719496
0.066023,0.725110
0.070222,0.730332
0.074424,0.735484
0.078628,0.740554
0.082832,0.745830
0.087033,0.750830
0.091234,0.755676
0.095429,0.760943
0.099630,0.765614
0.103829,0.770202
0.108027,0.774461
0.112230,0.778644
0.116430,0.782809
0.120634,0.786700
0.124837,0.790391
0.129043,0.793832
0.133246,0.797134
0.137448,0.800603
0.141653,0.803963
0.145856,0.807119
0.150057,0.810577
0.154263,0.813528
0.158468,0.816579
0.162672,0.819485
0.166878,0.822265
0.171082,0.824979
0.175283,0.827801
0.179484,0.830608
0.183692,0.833527
0.187891,0.836387
0.192094,0.839275
0.196300,0.842254
0.200505,0.844916
0.204709,0.847749
0.208913,0.850335
0.213117,0.852850
0.217317,0.855573
0.221521,0.858200
0.225728,0.860600
0.229936,0.863006
0.234142,0.865121
0.238347,0.867288
0.242552,0.869380
0.246756,0.871599
0.250962,0.873518
0.255168,0.875550
0.259375,0.877590
0.263580,0.879714
0.267788,0.881543
0.271989,0.883655
0.276195,0.885342
0.280402,0.887251
0.284607,0.889089
0.288814,0.891227
0.293020,0.892936
0.297225,0.894604
