file,cam,defect,score_maskoff,score_maskon,masked_frac,hit_maskon
DI2_Cam1_2026-07-18_10-10-14-549,Cam1,0,6.0,6.0,0.0,
DI2_Cam1_2026-07-18_10-11-40-176,Cam1,1,34.0,34.0,0.0,1
DI2_Cam1_2026-07-18_10-11-45-636,Cam1,1,32.0,32.0,0.0,1
DI2_Cam1_2026-07-18_10-11-55-175,Cam1,0,4.0,4.0,0.0,
DI2_Cam1_2026-07-18_10-11-56-690,Cam1,0,4.0,4.0,0.0,
DI2_Cam1_2026-07-18_10-14-15-404,Cam1,0,5.0,5.0,0.0,
DI2_Cam1_2026-07-18_10-14-40-482,Cam1,1,17.0,17.0,0.0,1
DI2_Cam1_2026-07-18_10-14-54-478,Cam1,1,31.0,31.0,0.0,1
DI2_Cam1_2026-07-18_10-17-33-756,Cam1,0,7.0,7.0,0.0,
DI2_Cam1_2026-07-18_10-17-44-354,Cam1,0,3.0,3.0,0.0,
DI2_Cam1_2026-07-18_10-17-49-889,Cam1,0,4.0,4.0,0.0,
DI2_Cam1_2026-07-18_10-18-02-377,Cam1,0,3.0,3.0,0.0,
DI2_Cam1_2026-07-18_10-18-03-404,Cam1,0,6.0,6.0,0.0,
DI2_Cam2_2026-07-18_10-10-14-552,Cam2,0,2.0,2.0,0.0,
DI2_Cam2_2026-07-18_10-11-40-181,Cam2,1,26.0,26.0,0.0,1
DI2_Cam2_2026-07-18_10-11-45-634,Cam2,1,16.0,16.0,0.0,1
DI2_Cam2_2026-07-18_10-11-55-176,Cam2,0,9.0,9.0,0.0,
DI2_Cam2_2026-07-18_10-11-56-689,Cam2,0,7.0,7.0,0.0,
DI2_Cam2_2026-07-18_10-14-15-408,Cam2,0,4.0,4.0,0.0,
DI2_Cam2_2026-07-18_10-14-40-480,Cam2,1,32.0,32.0,0.0,1
DI2_Cam2_2026-07-18_10-14-54-481,Cam2,1,17.0,17.0,0.0,1
DI2_Cam2_2026-07-18_10-17-33-758,Cam2,0,3.0,3.0,0.0,
DI2_Cam2_2026-07-18_10-17-44-355,Cam2,0,5.0,5.0,0.0,
DI2_Cam2_2026-07-18_10-17-49-889,Cam2,0,3.0,3.0,0.0,
DI2_Cam2_2026-07-18_10-18-02-517,Cam2,0,3.0,3.0,0.0,
DI2_Cam2_2026-07-18_10-18-03-407,Cam2,0,3.0,3.0,0.0,
DI2_Cam3_2026-07-18_10-10-14-550,Cam3,0,5.0,5.0,0.0,
DI2_Cam3_2026-07-18_10-11-40-175,Cam3,0,5.0,5.0,0.0,
DI2_Cam3_2026-07-18_10-11-45-637,Cam3,0,6.0,6.0,0.0,
DI2_Cam3_2026-07-18_10-11-55-177,Cam3,0,23.0,23.0,0.0,
DI2_Cam3_2026-07-18_10-11-56-691,Cam3,1,18.0,18.0,0.0,1
DI2_Cam3_2026-07-18_10-14-15-409,Cam3,1,49.0,43.0,0.09361293859649122,1
DI2_Cam3_2026-07-18_10-14-40-488,Cam3,0,12.0,12.0,0.0,
DI2_Cam3_2026-07-18_10-14-54-482,Cam3,0,5.0,5.0,0.0,
DI2_Cam3_2026-07-18_10-17-33-757,Cam3,0,3.0,3.0,0.0,
DI2_Cam3_2026-07-18_10-17-44-358,Cam3,0,4.0,4.0,0.0,
DI2_Cam3_2026-07-18_10-17-49-891,Cam3,0,7.0,7.0,0.0,
DI2_Cam3_2026-07-18_10-18-02-520 - 副本,Cam3,0,4.0,4.0,0.0,
DI2_Cam3_2026-07-18_10-18-03-405,Cam3,0,8.0,8.0,0.0,
DI2_Cam4_2026-07-18_10-10-14-561,Cam4,0,4.0,4.0,0.0,
DI2_Cam4_2026-07-18_10-11-40-179,Cam4,0,3.0,3.0,0.0,
DI2_Cam4_2026-07-18_10-11-45-648,Cam4,0,4.0,4.0,0.0,
DI2_Cam4_2026-07-18_10-11-55-179,Cam4,1,44.0,44.0,0.0,1
DI2_Cam4_2026-07-18_10-11-56-694,Cam4,1,18.0,18.0,0.0,1
DI2_Cam4_2026-07-18_10-14-15-405,Cam4,0,13.0,12.0,0.0808662280701754,
DI2_Cam4_2026-07-18_10-14-40-475,Cam4,0,7.0,7.0,0.0,
DI2_Cam5_2026-07-18_10-11-55-176,Cam5,1,30.0,30.0,0.0,1
DI2_Cam5_2026-07-18_10-11-56-689,Cam5,1,27.0,27.0,0.0,1
DI2_Cam5_2026-07-18_10-14-15-402,Cam5,0,19.0,19.0,0.07428728070175439,
DI2_Cam5_2026-07-18_10-14-40-474,Cam5,0,5.0,5.0,0.0,
DI2_Cam5_2026-07-18_10-14-54-477,Cam5,0,3.0,3.0,0.0,
DI2_Cam5_2026-07-18_10-17-33-755,Cam5,0,7.0,7.0,0.0,
DI2_Cam5_2026-07-18_10-17-44-353,Cam5,0,7.0,7.0,0.0,
DI2_Cam5_2026-07-18_10-17-49-885,Cam5,0,4.0,4.0,0.0,
DI2_Cam5_2026-07-18_10-18-02-459,Cam5,0,3.0,3.0,0.0,
DI2_Cam5_2026-07-18_10-18-03-402,Cam5,0,3.0,3.0,0.0,
DI2_Cam6_2026-07-18_10-10-14-550,Cam6,0,7.0,7.0,0.0,
DI2_Cam6_2026-07-18_10-11-40-177,Cam6,0,9.0,9.0,0.0,
DI2_Cam6_2026-07-18_10-11-45-648,Cam6,0,9.0,9.0,0.0,
DI2_Cam6_2026-07-18_10-11-55-178,Cam6,1,17.0,17.0,0.0,1
DI2_Cam6_2026-07-18_10-11-56-719,Cam6,1,12.0,12.0,0.0,1
DI2_Cam6_2026-07-18_10-14-15-407,Cam6,0,10.0,20.0,0.0630482456140351,
DI2_Cam6_2026-07-18_10-14-40-478,Cam6,0,6.0,6.0,0.0,
DI2_Cam6_2026-07-18_10-14-54-492,Cam6,0,6.0,6.0,0.0,
DI2_Cam6_2026-07-18_10-17-33-774,Cam6,0,3.0,3.0,0.0,
DI2_Cam6_2026-07-18_10-17-44-376,Cam6,0,4.0,4.0,0.0,
DI2_Cam6_2026-07-18_10-17-49-886,Cam6,0,3.0,3.0,0.0,
DI2_Cam6_2026-07-18_10-18-02-458,Cam6,0,6.0,6.0,0.0,
DI2_Cam6_2026-07-18_10-18-03-408 - 副本,Cam6,0,4.0,4.0,0.0,
