file,cam,defect,score,hit,box,gt
DI2_Cam1_2026-07-18_10-10-14-549,Cam1,0,6.0,0,"[1754, 992, 1768, 1080]",[]
DI2_Cam1_2026-07-18_10-11-40-176,Cam1,1,34.0,1,"[1389, 831, 1487, 963]","[[1382, 829, 1506, 910]]"
DI2_Cam1_2026-07-18_10-11-45-636,Cam1,1,32.0,1,"[1810, 816, 1922, 919]","[[1791, 810, 1957, 906]]"
DI2_Cam1_2026-07-18_10-11-55-175,Cam1,0,4.0,0,"[294, 904, 322, 948]",[]
DI2_Cam1_2026-07-18_10-11-56-690,Cam1,0,4.0,0,"[2063, 846, 2091, 889]",[]
DI2_Cam1_2026-07-18_10-14-15-404,Cam1,0,5.0,0,"[1417, 948, 1473, 992]",[]
DI2_Cam1_2026-07-18_10-14-40-482,Cam1,1,17.0,1,"[645, 904, 729, 992]","[[649, 876, 764, 983]]"
DI2_Cam1_2026-07-18_10-14-54-478,Cam1,1,31.0,1,"[1824, 802, 1950, 875]","[[1826, 798, 1981, 912]]"
DI2_Cam1_2026-07-18_10-17-33-756,Cam1,0,7.0,0,"[2063, 802, 2077, 904]",[]
DI2_Cam1_2026-07-18_10-17-44-354,Cam1,0,3.0,0,"[1585, 831, 1614, 860]",[]
DI2_Cam1_2026-07-18_10-17-49-889,Cam1,0,4.0,0,"[1529, 933, 1557, 977]",[]
DI2_Cam1_2026-07-18_10-18-02-377,Cam1,0,3.0,0,"[2063, 846, 2077, 889]",[]
DI2_Cam1_2026-07-18_10-18-03-404,Cam1,0,6.0,0,"[912, 933, 982, 992]",[]
DI2_Cam2_2026-07-18_10-10-14-552,Cam2,0,2.0,0,"[2105, 1006, 2133, 1036]",[]
DI2_Cam2_2026-07-18_10-11-40-181,Cam2,1,26.0,1,"[2077, 816, 2161, 919]","[[2060, 800, 2157, 900]]"
DI2_Cam2_2026-07-18_10-11-45-634,Cam2,1,16.0,1,"[2385, 846, 2456, 904]","[[2386, 816, 2466, 897]]"
DI2_Cam2_2026-07-18_10-11-55-176,Cam2,0,9.0,0,"[1122, 787, 1178, 846]",[]
DI2_Cam2_2026-07-18_10-11-56-689,Cam2,0,7.0,0,"[701, 787, 757, 846]",[]
DI2_Cam2_2026-07-18_10-14-15-408,Cam2,0,4.0,0,"[1515, 670, 1529, 729]",[]
DI2_Cam2_2026-07-18_10-14-40-480,Cam2,1,32.0,1,"[1291, 802, 1417, 919]","[[1279, 778, 1427, 890]]"
DI2_Cam2_2026-07-18_10-14-54-481,Cam2,1,17.0,1,"[2400, 831, 2498, 889]","[[2393, 824, 2474, 891]]"
DI2_Cam2_2026-07-18_10-17-33-758,Cam2,0,3.0,0,"[84, 772, 98, 816]",[]
DI2_Cam2_2026-07-18_10-17-44-355,Cam2,0,5.0,0,"[701, 772, 743, 846]",[]
DI2_Cam2_2026-07-18_10-17-49-889,Cam2,0,3.0,0,"[2049, 1036, 2091, 1065]",[]
DI2_Cam2_2026-07-18_10-18-02-517,Cam2,0,3.0,0,"[1403, 772, 1417, 816]",[]
DI2_Cam2_2026-07-18_10-18-03-407,Cam2,0,3.0,0,"[1108, 831, 1136, 860]",[]
DI2_Cam3_2026-07-18_10-10-14-550,Cam3,0,5.0,0,"[2063, 860, 2091, 933]",[]
DI2_Cam3_2026-07-18_10-11-40-175,Cam3,0,5.0,0,"[3115, 904, 3143, 948]",[]
DI2_Cam3_2026-07-18_10-11-45-637,Cam3,0,6.0,0,"[2049, 919, 2091, 992]",[]
DI2_Cam3_2026-07-18_10-11-55-177,Cam3,0,23.0,0,"[645, 875, 743, 977]",[]
DI2_Cam3_2026-07-18_10-11-56-691,Cam3,1,18.0,1,"[659, 889, 729, 977]","[[644, 870, 750, 973]]"
DI2_Cam3_2026-07-18_10-14-15-409,Cam3,1,49.0,0,"[435, 772, 575, 933]","[[627, 863, 709, 955]]"
DI2_Cam3_2026-07-18_10-14-40-488,Cam3,0,12.0,0,"[2666, 904, 2750, 963]",[]
DI2_Cam3_2026-07-18_10-14-54-482,Cam3,0,5.0,0,"[2498, 919, 2554, 963]",[]
DI2_Cam3_2026-07-18_10-17-33-757,Cam3,0,3.0,0,"[2259, 1006, 2301, 1036]",[]
DI2_Cam3_2026-07-18_10-17-44-358,Cam3,0,4.0,0,"[2077, 919, 2091, 977]",[]
DI2_Cam3_2026-07-18_10-17-49-891,Cam3,0,7.0,0,"[2484, 875, 2526, 948]",[]
DI2_Cam3_2026-07-18_10-18-02-520 - 副本,Cam3,0,4.0,0,"[2273, 963, 2315, 992]",[]
DI2_Cam3_2026-07-18_10-18-03-405,Cam3,0,8.0,0,"[2484, 889, 2526, 963]",[]
DI2_Cam4_2026-07-18_10-10-14-561,Cam4,0,4.0,0,"[968, 612, 982, 670]",[]
DI2_Cam4_2026-07-18_10-11-40-179,Cam4,0,3.0,0,"[2105, 860, 2133, 889]",[]
DI2_Cam4_2026-07-18_10-11-45-648,Cam4,0,4.0,0,"[1782, 816, 1824, 860]",[]
DI2_Cam4_2026-07-18_10-11-55-179,Cam4,1,44.0,1,"[1291, 743, 1417, 875]","[[1280, 713, 1428, 813]]"
DI2_Cam4_2026-07-18_10-11-56-694,Cam4,1,18.0,1,"[1319, 743, 1403, 831]","[[1293, 713, 1418, 841]]"
DI2_Cam4_2026-07-18_10-14-15-405,Cam4,0,13.0,0,"[1333, 831, 1403, 889]",[]
DI2_Cam4_2026-07-18_10-14-40-475,Cam4,0,7.0,0,"[2035, 802, 2091, 846]",[]
DI2_Cam5_2026-07-18_10-11-55-176,Cam5,1,30.0,1,"[1964, 729, 2077, 875]","[[1927, 725, 2122, 855]]"
DI2_Cam5_2026-07-18_10-11-56-689,Cam5,1,27.0,1,"[1978, 743, 2077, 860]","[[1968, 728, 2070, 794]]"
DI2_Cam5_2026-07-18_10-14-15-402,Cam5,0,19.0,0,"[2049, 626, 2119, 729]",[]
DI2_Cam5_2026-07-18_10-14-40-474,Cam5,0,5.0,0,"[1361, 933, 1375, 1006]",[]
DI2_Cam5_2026-07-18_10-14-54-477,Cam5,0,3.0,0,"[2512, 758, 2540, 802]",[]
DI2_Cam5_2026-07-18_10-17-33-755,Cam5,0,7.0,0,"[1136, 802, 1192, 831]",[]
DI2_Cam5_2026-07-18_10-17-44-353,Cam5,0,7.0,0,"[2273, 816, 2315, 889]",[]
DI2_Cam5_2026-07-18_10-17-49-885,Cam5,0,4.0,0,"[1936, 816, 1964, 846]",[]
DI2_Cam5_2026-07-18_10-18-02-459,Cam5,0,3.0,0,"[1136, 846, 1164, 875]",[]
DI2_Cam5_2026-07-18_10-18-03-402,Cam5,0,3.0,0,"[1122, 919, 1164, 963]",[]
DI2_Cam6_2026-07-18_10-10-14-550,Cam6,0,7.0,0,"[2554, 1021, 2582, 1080]",[]
DI2_Cam6_2026-07-18_10-11-40-177,Cam6,0,9.0,0,"[1810, 933, 1866, 1006]",[]
DI2_Cam6_2026-07-18_10-11-45-648,Cam6,0,9.0,0,"[2231, 963, 2315, 1006]",[]
DI2_Cam6_2026-07-18_10-11-55-178,Cam6,1,17.0,1,"[2835, 889, 2891, 963]","[[2826, 864, 2919, 951]]"
DI2_Cam6_2026-07-18_10-11-56-719,Cam6,1,12.0,1,"[2835, 889, 2891, 963]","[[2805, 865, 2911, 1002]]"
DI2_Cam6_2026-07-18_10-14-15-407,Cam6,0,10.0,0,"[2863, 699, 2947, 729]",[]
DI2_Cam6_2026-07-18_10-14-40-478,Cam6,0,6.0,0,"[1810, 963, 1838, 1036]",[]
DI2_Cam6_2026-07-18_10-14-54-492,Cam6,0,6.0,0,"[1600, 831, 1656, 875]",[]
DI2_Cam6_2026-07-18_10-17-33-774,Cam6,0,3.0,0,"[2863, 1006, 2891, 1036]",[]
DI2_Cam6_2026-07-18_10-17-44-376,Cam6,0,4.0,0,"[2203, 963, 2259, 992]",[]
DI2_Cam6_2026-07-18_10-17-49-886,Cam6,0,3.0,0,"[1824, 977, 1852, 1006]",[]
DI2_Cam6_2026-07-18_10-18-02-458,Cam6,0,6.0,0,"[2456, 875, 2512, 919]",[]
DI2_Cam6_2026-07-18_10-18-03-408 - 副本,Cam6,0,4.0,0,"[1824, 933, 1866, 977]",[]
