th,layers,band,topk,hit,ndef,auroc,fpr100,rec95
448,8,"(0.34, 0.6)",1,14,16,96.42045454545455,0.09090909090909091,0.9375
448,8,"(0.34, 0.6)",2,15,16,96.47727272727273,0.07272727272727272,0.75
448,8,"(0.34, 0.6)",3,15,16,96.5340909090909,0.07272727272727272,0.75
448,8,"(0.34, 0.6)",5,15,16,94.0340909090909,0.16363636363636364,0.625
448,4,"(0.34, 0.6)",1,14,16,93.18181818181817,0.23636363636363636,0.4375
448,4,"(0.34, 0.6)",2,15,16,94.26136363636364,0.10909090909090909,0.4375
448,4,"(0.34, 0.6)",3,15,16,93.69318181818183,0.16363636363636364,0.5
448,4,"(0.34, 0.6)",5,14,16,92.32954545454545,0.5272727272727272,0.375
448,12,"(0.34, 0.6)",1,14,16,95.0,0.10909090909090909,0.5625
448,12,"(0.34, 0.6)",2,14,16,95.68181818181817,0.09090909090909091,0.8125
448,12,"(0.34, 0.6)",3,14,16,94.54545454545455,0.10909090909090909,0.5
448,12,"(0.34, 0.6)",5,13,16,88.80681818181819,0.3090909090909091,0.375
672,8,"(0.34, 0.6)",1,15,16,96.64772727272727,0.07272727272727272,0.8125
672,8,"(0.34, 0.6)",2,15,16,96.02272727272728,0.07272727272727272,0.6875
672,8,"(0.34, 0.6)",3,15,16,95.68181818181817,0.09090909090909091,0.6875
672,8,"(0.34, 0.6)",5,15,16,93.69318181818183,0.2727272727272727,0.625
896,8,"(0.34, 0.6)",1,15,16,96.07954545454545,0.09090909090909091,0.75
896,8,"(0.34, 0.6)",2,15,16,95.625,0.10909090909090909,0.625
896,8,"(0.34, 0.6)",3,15,16,95.3409090909091,0.10909090909090909,0.625
896,8,"(0.34, 0.6)",5,15,16,93.92045454545455,0.21818181818181817,0.625
448,8,"(0.3, 0.65)",1,15,16,94.03409090909092,0.10909090909090909,0.5625
448,8,"(0.3, 0.65)",2,15,16,93.4659090909091,0.12727272727272726,0.5625
448,8,"(0.3, 0.65)",3,15,16,93.29545454545455,0.16363636363636364,0.5625
448,8,"(0.3, 0.65)",5,15,16,90.56818181818181,0.2727272727272727,0.375
448,8,"(0.37, 0.56)",1,15,16,96.47727272727272,0.09090909090909091,0.8125
448,8,"(0.37, 0.56)",2,15,16,96.02272727272727,0.07272727272727272,0.625
448,8,"(0.37, 0.56)",3,15,16,95.96590909090908,0.09090909090909091,0.625
448,8,"(0.37, 0.56)",5,15,16,95.22727272727273,0.14545454545454545,0.5625
